product_key,title,size,color,price_PKR,front_image,back_image,nozzle_included,description
zimx,ZIMX Anti-Freeze and Anti-Boil - 1 Liter,1 Liter,green,749,images/web/zimx-anti-freeze-anti-boil-1-liter-green-front.webp,images/web/zimx-anti-freeze-anti-boil-1-liter-green-back.webp,True,"ZIMX Anti-Freeze & Anti-Boil is an advanced, ready-to-use formula developed for modern automotive cooling systems. It helps protect against freezing, boil-over, rust and corrosion, while anti-foaming and anti-scaling additives support coolant flow. Available in red and green, in 1 Liter and 4 Liter bottles."
zimx,ZIMX Anti-Freeze and Anti-Boil - 1 Liter,1 Liter,red,749,images/web/zimx-anti-freeze-anti-boil-1-liter-red-front.webp,images/web/zimx-anti-freeze-anti-boil-1-liter-red-back.webp,True,"ZIMX Anti-Freeze & Anti-Boil is an advanced, ready-to-use formula developed for modern automotive cooling systems. It helps protect against freezing, boil-over, rust and corrosion, while anti-foaming and anti-scaling additives support coolant flow. Available in red and green, in 1 Liter and 4 Liter bottles."
zimx,ZIMX Anti-Freeze and Anti-Boil - 4 Liter,4 Liter,green,2999,images/web/zimx-anti-freeze-anti-boil-4-liter-green-front.webp,images/web/zimx-anti-freeze-anti-boil-4-liter-green-back.webp,False,"ZIMX Anti-Freeze & Anti-Boil is an advanced, ready-to-use formula developed for modern automotive cooling systems. It helps protect against freezing, boil-over, rust and corrosion, while anti-foaming and anti-scaling additives support coolant flow. Available in red and green, in 1 Liter and 4 Liter bottles."
zimx,ZIMX Anti-Freeze and Anti-Boil - 4 Liter,4 Liter,red,2999,images/web/zimx-anti-freeze-anti-boil-4-liter-red-front.webp,images/web/zimx-anti-freeze-anti-boil-4-liter-red-back.webp,False,"ZIMX Anti-Freeze & Anti-Boil is an advanced, ready-to-use formula developed for modern automotive cooling systems. It helps protect against freezing, boil-over, rust and corrosion, while anti-foaming and anti-scaling additives support coolant flow. Available in red and green, in 1 Liter and 4 Liter bottles."
zim,ZIM Anti-Rust Coolant - 1 Liter,1 Liter,green,349,images/web/zim-anti-rust-coolant-1-liter-green-front.webp,images/web/zim-anti-rust-coolant-1-liter-green-back.webp,False,"Keep your engine cool with ZIM Anti-Rust Coolant, formulated to help protect your vehicle’s radiator against overheating, corrosion and rust. Designed for everyday cooling-system care. Available in 1 Liter and 4 Liter packs, in red and green."
zim,ZIM Anti-Rust Coolant - 1 Liter,1 Liter,red,349,images/web/zim-anti-rust-coolant-1-liter-red-front.webp,images/web/zim-anti-rust-coolant-1-liter-red-back.webp,False,"Keep your engine cool with ZIM Anti-Rust Coolant, formulated to help protect your vehicle’s radiator against overheating, corrosion and rust. Designed for everyday cooling-system care. Available in 1 Liter and 4 Liter packs, in red and green."
zim,ZIM Anti-Rust Coolant - 4 Liter,4 Liter,green,1349,images/web/zim-anti-rust-coolant-4-liter-green-front.webp,images/web/zim-anti-rust-coolant-4-liter-green-back.webp,False,"Keep your engine cool with ZIM Anti-Rust Coolant, formulated to help protect your vehicle’s radiator against overheating, corrosion and rust. Designed for everyday cooling-system care. Available in 1 Liter and 4 Liter packs, in red and green."
zim,ZIM Anti-Rust Coolant - 4 Liter,4 Liter,red,1349,images/web/zim-anti-rust-coolant-4-liter-red-front.webp,images/web/zim-anti-rust-coolant-4-liter-red-back.webp,False,"Keep your engine cool with ZIM Anti-Rust Coolant, formulated to help protect your vehicle’s radiator against overheating, corrosion and rust. Designed for everyday cooling-system care. Available in 1 Liter and 4 Liter packs, in red and green."
gear,ZIM Gear Oil,1 Liter,,649,images/web/zim-gear-oil-1-liter-front.webp,images/web/zim-gear-oil-1-liter-back.webp,False,"Experience smoother gear shifts and lasting protection with ZIM Gear Oil. This EP-140, GL-4 lubricant is formulated to reduce friction, wear and heat in manual transmissions and differentials that require this grade and specification."
atf,ZIM ATF (Auto Transmission Fluid),,,399,images/web/zim-atf-front.webp,images/web/zim-atf-back.webp,False,"Keep your transmission running smoothly with ZIM ATF, an automatic transmission and power steering fluid formulated for lubrication, cooling and wear protection. Designed to support responsive shifting and reliable operation in systems that meet its required fluid specification."
